Product Name,Current Price,Old Price,Discount,Rating,Image URL,Mall Store
GUIXIA  Pro3 In-ear Wireless Bluetooth Headsets Headphones I13,KSh 459,KSh 754,39%,3.6 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
"General Electric DCQ Q1 2.4"" 5D Louder Speaker 2000mAh Phone - Black","KSh 1,450","KSh 2,576",44%,4.4 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
RichRipple Sucker Stand Black Portable Power Bank 20000mAh,"KSh 1,599","KSh 1,999",20%,4.7 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
Wireless Bluetooth Headset In Ear Buds Sports Stereo Bass,KSh 898,"KSh 1,796",50%,3.4 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Oraimo FreePods Lite ENC 40-hour Playtime Havybass True Wireless Earbuds With APP Control-Black,"KSh 1,999","KSh 2,500",20%,4.5 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
Neckband Wireless Bluetooth In-Ear Sports Earphone Headset,KSh 399,KSh 642,38%,4.2 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Wireless Headphones BluetoothT Earphone Earbuds Headsets,KSh 898,"KSh 1,796",50%,4.5 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Qwen Bluetooth Earbuds Wireless Earphones Bluetooth Headsets HD Sound  With LED Digital,KSh 600,"KSh 1,000",40%,4 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
GUIXIA  F9 Wireless Headset Bluetooth Earphone True Bass With Power Banc,KSh 479,KSh 799,40%,4.3 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
F9-36 Wireless Earbud  LED Digital Display Bluetooth Headset  With Charging Box,KSh 600,"KSh 1,000",40%,3.5 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
"Tecno Spark 20, 6.6"", 256GB + 8GB RAM, 50MP Camera, 5000mAh,Gravity Black (1YR WRTY)","KSh 19,299","KSh 29,999",36%,4.4 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
Bluetooth Speaker Mirror With Clock FM Time Radio,KSh 854,"KSh 1,530",44%,3.3 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
RichRipple Pro3 Bluetooth Headsets Wireless Pods Pro Earpods Earphones,KSh 529,KSh 826,36%,4.4 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
RichRipple 6Inch LED Selfie Ring Light & Tripod Stand 2 Phone Holders,KSh 599,KSh 999,40%,4.3 out of 5,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Official Store
